Total Household Income,Total Food Expenditure,Household Head Age,Alcoholic Beverages Expenditure,Household Head Highest Grade Completed,Education Expenditure,Total Number of Family members,Total number of family members employed
480332,117848,49,0,Teacher Training and Education Sciences Programs,36200,4,1
198235,67766,40,960,Transport Services Programs,29300,3,2
82785,61609,39,270,Grade 3,425,6,3
107589,78189,52,480,Elementary Graduate,300,3,2
189322,94625,65,1040,Elementary Graduate,0,4,2
152883,73326,46,180,Second Year High School,0,4,3
198621,104644,45,1920,Third Year High School,0,5,1
134961,95644,33,480,Business and Administration Programs,50,5,0
171152,67348,17,0,First Year College,8000,2,0
625753,158721,53,0,High School Graduate,13180,6,1
147005,79530,49,1268,"Other Programs in Education at the Third Level, First Stage, of the Type that Leads to an Award not Equivalent to a First University or Baccalaureate Degree",750,4,1
253130,111250,35,2080,High School Graduate,250,7,5
101111,88523,38,1040,Elementary Graduate,960,7,2
128214,62262,53,0,Humanities Programs,0,3,0
91525,45487,75,0,Elementary Graduate,0,2,0
171742,70892,36,0,First Year High School,375,4,0
95385,83790,67,1208,Grade 6,470,5,1
142843,85370,57,0,High School Graduate,350,8,1
88170,64705,63,520,Elementary Graduate,0,4,3
97018,82534,40,1820,Elementary Graduate,215,5,1
123015,73459,60,1280,High School Graduate,8060,4,2
100900,67830,62,960,Grade 4,800,4,2
153312,164860,45,570,Engineering and Engineering Trades Programs,5960,6,1
96814,64696,41,390,Second Year High School,200,5,1
91785,57112,43,820,Grade 3,225,3,1
83600,59819,45,1440,Third Year High School,150,3,1
84330,45509,61,0,Grade 2,0,2,0
164830,76151,45,390,Business and Administration Programs,0,3,0
87612,88484,58,1092,Elementary Graduate,200,6,2
96862,82647,34,1170,High School Graduate,3000,6,0
65929,59898,67,0,Grade 5,0,2,0
114998,89896,34,1638,Elementary Graduate,760,6,2
217720,84335,25,910,Third Year High School,0,2,0
98650,90927,29,1040,High School Graduate,0,4,1
169755,110405,53,1170,High School Graduate,14800,5,2
143785,63907,83,1390,High School Graduate,0,5,4
105805,50424,90,0,Elementary Graduate,0,2,0
129066,112070,52,456,First Year College,11900,6,3
154710,91008,78,2928,Elementary Graduate,380,4,2
203675,108043,79,252,Grade 3,5100,6,2
186475,96915,60,0,Elementary Graduate,7000,4,1
104457,73997,63,486,Elementary Graduate,9600,4,2
119492,78073,65,492,Grade 4,100,6,2
304598,98445,48,416,Business and Administration Programs,0,4,1
824148,99064,54,0,Business and Administration Programs,82000,2,2
169790,85448,41,2920,"Other Programs in Education at the Third Level, First Stage, of the Type that Leads to an Award not Equivalent to a First University or Baccalaureate Degree",5500,5,1
132275,83528,40,210,Social and Behavioral Science Programs,8600,4,1
559202,98107,29,0,Business and Administration Programs,6000,5,0
111495,59255,52,0,"Agriculture, Forestry, and Fishery Programs",0,2,1
977025,131485,49,2600,"Agriculture, Forestry, and Fishery Programs",17000,6,2
272500,95406,65,1458,Teacher Training and Education Sciences Programs,6000,5,1
677321,229370,75,3210,High School Graduate,22500,10,1
205570,64202,67,3214,Teacher Training and Education Sciences Programs,0,2,0
350740,96601,36,0,Teacher Training and Education Sciences Programs,5500,3,0
206490,75031,53,0,High School Graduate,5150,3,2
113020,67121,35,1170,Elementary Graduate,200,3,2
740110,181926,63,2720,Teacher Training and Education Sciences Programs,34900,7,2
281236,56971,69,0,Teacher Training and Education Sciences Programs,0,2,0
100806,60160,28,0,Teacher Training and Education Sciences Programs,280,3,1
410190,88966,56,4374,First Year High School,300,6,2
730210,172404,66,0,Teacher Training and Education Sciences Programs,0,4,1
113852,88017,37,756,High School Graduate,400,7,1
132645,51139,21,0,Health Programs,100,2,0
301423,127743,60,504,Elementary Graduate,11957,8,2
143839,65989,41,648,Fourth Year College,0,4,1
301240,102906,45,1534,First Year College,600,5,3
117410,87743,37,160,Elementary Graduate,1650,5,2
152913,59310,51,1645,Grade 4,0,2,1
86964,62023,51,1080,High School Graduate,0,2,2
226761,104427,26,0,Engineering and Engineering Trades Programs,0,4,2
153585,110631,38,2925,Engineering and Engineering trades Programs,2350,6,1
96855,81985,38,1680,High School Graduate,100,5,2
264520,108109,53,4615,High School Graduate,0,4,3
241065,96505,68,1105,Elementary Graduate,550,4,1
121751,91575,34,510,High School Graduate,700,7,3
135071,90942,62,1105,Second Year College,600,4,3
239836,90669,50,2145,Third Year College,300,3,2
67755,29066,43,1690,Grade 4,0,1,0
148088,78662,46,2350,High School Graduate,500,4,2
255226,155045,63,1105,First Year College,12300,7,1
175305,84355,64,1170,Grade 6,0,4,1
98132,69946,60,1170,High School Graduate,0,3,3
144206,72478,45,1105,Second Year College,0,2,0
125505,100518,45,1560,First Year College,600,5,2
67900,60543,32,1170,Elementary Graduate,50,4,1
84369,49085,55,510,Elementary Graduate,0,2,2
121743,72244,63,585,Elementary Graduate,150,4,1
166080,110462,36,3564,First Year College,600,7,1
372972,164802,42,4082,Second Year College,3850,5,4
300324,79540,65,0,Second Year High School,0,2,0
168498,77667,38,1440,High School Graduate,280,6,1
68425,53517,55,0,Grade 5,0,2,0
151545,86841,52,1580,First Year College,10100,3,2
138688,62562,72,0,Grade 5,0,2,1
96695,77461,48,360,Elementary Graduate,5870,4,3
379622,89011,62,0,Social and Behavioral Science Programs,18000,2,1
147342,83950,50,1014,Grade 4,200,5,3
174440,92792,60,1410,Grade 4,0,6,3
223295,92989,77,0,Teacher Training and Education Sciences Programs,6900,2,0
106805,74452,65,1080,First Year College,6000,3,0
101045,97535,50,1310,Elementary Graduate,150,7,3
101814,81093,36,750,Transport Services Programs,150,4,0
109955,64116,31,855,Third Year High School,1080,3,0
391100,115092,83,0,Teacher Training and Education Sciences Programs,0,3,0
111495,84215,65,1020,High School Graduate,230,8,1
160114,81805,46,546,Grade 5,1500,6,3
145410,80552,35,468,Elementary Graduate,300,4,0
166080,134812,38,1580,Elementary Graduate,200,12,2
149410,108269,53,0,Grade 3,0,7,2
123308,93550,43,510,Elementary Graduate,0,8,1
